         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18225    0.029    0.000    0.040    0.000 threading.py:944(_stop)
   121026    0.029    0.000    0.029    0.000 {method 'pop' of 'list' objects}
   117532    0.029    0.000    0.029    0.000 controlflow.py:116(successors)
    19478    0.029    0.000    0.107    0.000 instructions.py:419(descr)
   108118    0.029    0.000    0.029    0.000 spectrum.py:766(annotation)
     6059    0.028    0.000    0.344    0.000 cgutils.py:362(alloca_once)
     6098    0.028    0.000    0.028    0.000 {built-in method posix.sched_getaffinity}
 3338/793    0.027    0.000   12.577    0.016 typeinfer.py:568(resolve)
    60745    0.027    0.000    0.027    0.000 threading.py:1095(daemon)
    78995    0.026    0.000    0.026    0.000 util.py:48(debug)
44633/44235    0.026    0.000    0.212    0.000 manager.py:22(lookup)
    25600    0.026    0.000    0.030    0.000 controlflow.py:366(_add_edge)
    17068    0.026    0.000    0.026    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
16784/5535    0.026    0.000    9.042    0.002 templates.py:681(_get_impl)
    24792    0.026    0.000    0.026    0.000 weakref.py:395(__setitem__)
    35870    0.026    0.000    0.034    0.000 pool.py:753(ready)
     6073    0.026    0.000    0.026    0.000 {built-in method faiss._swigfaiss.IndexFlatIP_swiginit}
    12200    0.026    0.000    0.026    0.000 {built-in method _locale.nl_langinfo}
    66710    0.026    0.000    0.436    0.000 ir.py:594(list_vars)
     6073    0.026    0.000    4.009    0.001 pool.py:644(close)
    27013    0.025    0.000    0.033    0.000 controlflow.py:381(_dfs)
    37886    0.025    0.000    0.039    0.000 errors.py:724(new_error_context)
    35841    0.025    0.000   23.190    0.001 swigfaiss.py:5062(search)
    58872    0.025    0.000    0.059    0.000 types.py:30(__ne__)
    14059    0.025    0.000    0.038    0.000 posixpath.py:71(join)
    19038    0.025    0.000    0.144    0.000 instructions.py:394(__init__)
        4    0.025    0.006    0.025    0.006 {built-in method _ctypes.dlopen}
    28123    0.025    0.000    0.036    0.000 typeinfer.py:896(__getitem__)
    12160    0.025    0.000    0.187    0.000 util.py:171(register_after_fork)
    23256    0.024    0.000   65.545    0.003 _parallel_backends.py:400(_get_pool)
    23707    0.024    0.000    0.058    0.000 typeconv.py:43(check_compatible)
        1    0.024    0.024   22.770   22.770 falcon_profiling.py:286(_prepare_spectra)
    19038    0.023    0.000    0.069    0.000 instructions.py:399(descr)
    17068    0.023    0.000    0.240    0.000 initialise.py:74(wrap_stream)
38226/38034    0.023    0.000    0.049    0.000 values.py:130(_get_reference)
